TEAM,POS,CUSH,SEP,TAY,TAY%,REC,TAR,CTCH%,YDS,TD,YAC/R,xYAC/R,+/-,
NFC,WR,6.5,3.6,8.4,31.32,145,191,75.92,1947,16,6.2,4.8,1.3,
NFC,WR,5.7,3,12.3,45.27,108,167,64.67,1616,10,4.7,4,0.8,
NFC,WR,5.3,2.9,9.1,35.27,123,169,72.78,1553,11,5.4,4.8,0.6,
AFC,WR,5,2.3,12.7,37.38,81,128,63.28,1455,13,8.3,3.9,4.4,
NFC,WR,6.7,3.3,8.7,26.61,77,121,63.64,1397,6,10.4,5.2,5.2,
AFC,TE,6.4,3.1,10.5,30.51,107,153,69.93,1361,9,4.5,3.9,0.6,
AFC,WR,6.1,3.6,10.4,35.5,111,159,69.81,1239,9,4.1,3.8,0.3,
AFC,WR,5.1,2.7,11.6,35.43,103,164,62.8,1225,10,3.3,3,0.2,
SEA,WR,7,3.2,14.9,35.58,73,107,68.22,1175,8,4.2,3.9,0.2,
AFC,WR,4.6,3.2,8.4,32.44,107,169,63.31,1161,8,5.1,5.1,0,
CAR,WR,5.6,2.7,10.6,40.21,93,163,57.06,1157,4,5,4.6,0.4,
LAC,WR,5.3,2.5,11.6,29.63,76,129,58.91,1146,9,5.9,4.4,1.4,
AFC,WR,6,3.1,8.5,26.64,106,157,67.52,1138,6,3.4,3.8,-0.4,
AFC,TE,5.5,3.3,7.2,20.57,92,134,68.66,1125,9,6.4,4.8,1.6,
TB,WR,6.3,3.3,7.3,16.17,98,127,77.17,1103,5,6.3,5.4,0.9,
DAL,WR,6.3,3.1,10.6,24.81,79,120,65.83,1102,6,5.7,3.6,2,
CIN,WR,6,2.3,12.1,30.52,74,110,67.27,1091,6,4,2.9,1.1,
IND,WR,6.3,2.8,9.7,31.24,88,129,68.22,1082,6,4.1,3.8,0.3,
CHI,WR,7.1,2.9,11.3,36.48,81,140,57.86,1055,4,5.1,4.1,1,
WAS,WR,5.6,2.5,13.4,41.7,77,130,59.23,1053,5,4.1,3.3,0.9,
LV,WR,6.6,3.4,6.5,17.23,103,128,80.47,1038,9,4.6,4.6,0,
NFC,WR,4.9,2.7,13.1,26.22,74,114,64.91,1035,14,3.6,3.6,-0.1,
HOU,WR,6.4,3.3,10.6,36.72,90,134,67.16,1028,6,3.9,3.6,0.3,
NFC,TE,5.9,2.3,10.5,28.46,68,110,61.82,1026,1,5.2,3.8,1.5,
MIA,WR,6.5,3.3,6.8,21.99,104,140,74.29,1015,6,4.6,4.2,0.3,
BAL,WR,7.7,3.5,11.5,31.93,91,146,62.33,1008,6,4.3,4.6,-0.2,
ARI,WR,6,3.3,11.4,27.87,77,103,74.76,982,5,3.3,4.1,-0.8,
SEA,WR,6.3,2.6,12.7,36.71,75,129,58.14,967,12,4.6,2.9,1.6,
PHI,WR,6.1,2.3,14.8,38.05,64,104,61.54,916,5,2.9,2.7,0.3,
DET,WR,6.7,3.5,7.2,23.04,90,119,75.63,912,5,4.8,4.1,0.7,
NFC,TE,5.8,3.1,7.8,18.58,71,94,75.53,910,6,6.7,4.8,1.9,
TEN,WR,6.1,2.7,12,32.11,63,105,60,869,5,3.7,3.5,0.2,
NE,WR,5.4,2.8,9.6,28.51,83,126,65.87,866,2,3,3.3,-0.4,
DAL,WR,6.8,2.5,11.2,22.75,68,104,65.38,865,8,3.7,3.4,0.3,
ARI,WR,6.1,2.5,12.4,26.96,54,92,58.7,848,3,4,3.5,0.5,
PIT,WR,5.1,2.4,11.3,27.22,59,105,56.19,848,2,5.4,4,1.4,
JAX,WR,6.1,2.5,12.8,32.67,73,120,60.83,832,4,1.8,2.6,-0.8,
PHI,TE,6,3.6,8.2,15.45,56,76,73.68,830,4,7.1,5.4,1.7,
CIN,WR,6.3,3.2,8,17.31,67,94,71.28,828,5,5.9,5.2,0.7,
SF,WR,5.5,2.9,9.9,21.11,56,84,66.67,826,5,6.7,4.2,2.5,
DAL,TE,5.4,3.5,6.9,13.96,78,104,75,808,8,4.7,4.4,0.2,
LAR,WR,6.1,2.5,13.6,23.73,50,89,56.18,802,6,4.7,4.6,0,
TB,TE,4.8,3.4,9.7,15.14,55,89,61.8,802,6,6.9,5.8,1.2,
NE,WR,6.4,3.3,8.5,13.99,55,70,78.57,800,5,7.1,4.4,2.7,
MIA,TE,6.5,2.8,8.7,22.52,73,112,65.18,780,2,3.5,3.9,-0.4,
DEN,WR,5.2,2.6,15.4,34.5,58,98,59.18,776,2,2.5,3,-0.5,
ATL,WR,6.1,3.1,9.5,22.04,66,94,70.21,771,4,4.1,3.7,0.4,
ARI,TE,6,3.2,7.7,21.17,74,112,66.07,763,5,4.8,4.7,0.1,
DEN,WR,6,2.8,12,23.24,53,85,62.35,734,5,4.1,3.1,1.1,
MIN,WR,6.1,3.1,9.7,20.34,67,95,70.53,726,10,3.8,3.6,0.1,
NO,WR,5.8,2.8,12.9,28.63,46,84,54.76,698,6,3.1,2.7,0.4,
KC,WR,6.8,4.1,7.2,12.76,59,83,71.08,693,2,8.8,6.5,2.2,
BUF,WR,6.8,3.9,5.3,11.15,82,112,73.21,693,1,4,4.4,-0.5,
DEN,TE,5.9,4.1,6,12.38,68,90,75.56,670,4,5,4.6,0.4,
LV,TE,6.2,2.9,10,19.18,55,93,59.14,665,2,4.9,4.4,0.5,
MIN,WR,5.6,2.8,10.5,18.9,50,82,60.98,655,7,3.9,3.4,0.5,
PHI,WR,6,3.4,12.3,18.86,43,62,69.35,647,1,6,4.2,1.8,
BUF,WR,5.7,2.9,15,20.21,42,72,58.33,626,4,2.6,2.7,-0.1,
JAX,WR,6.7,3.6,5.7,12.11,63,100,63,619,0,6.6,4.8,1.7,
CHI,TE,5.4,3.3,7.5,16.09,60,93,64.52,612,0,4.7,4.1,0.6,
NE,TE,5.7,2.7,9.9,17.52,50,75,66.67,603,9,3.4,3.7,-0.3,
DAL,WR,6.3,3.5,9.5,11.26,45,61,73.77,602,6,6.2,5,1.2,
CLE,WR,5.7,2.1,15,21.26,34,58,58.62,597,3,4.9,3.6,1.3,
MIN,TE,5.3,3.5,5.6,10.63,61,87,70.11,593,3,5.6,5.7,-0.1,
BUF,TE,5.3,4,7.2,9.51,49,71,69.01,587,9,6.1,5.3,0.8,
DET,TE,6.2,2.8,7.5,16.87,61,84,72.62,583,4,3.6,3.5,0,
DET,WR,6.8,3.7,10,19.1,48,71,67.61,576,4,6,5.4,0.6,
ARI,WR,5.3,2.8,12.6,19.15,42,64,65.63,572,8,3.5,2.9,0.5,
NO,WR,7.2,3.6,10.4,16.19,36,59,61.02,570,3,6.9,5.6,1.3,
CLE,WR,6.1,3,8.2,17.49,52,87,59.77,570,2,5.3,4.8,0.4,
KC,WR,5.3,4.1,10.7,13.85,42,60,70,568,5,4.8,4,0.8,
LAC,TE,6,2.8,8.7,14.32,48,83,57.83,564,4,5.3,4.7,0.6,
LAR,TE,6,3.1,5.3,8.85,61,85,71.76,560,5,4.8,5.7,-0.9,
LV,WR,5.1,2,14.1,16.83,33,58,56.9,559,3,6.2,3.6,2.5,
LAR,WR,6.2,3.8,8.5,11.47,45,69,65.22,556,4,4.8,4.7,0,
BUF,WR,5.3,2.6,14.1,16.62,35,63,55.56,549,6,4,3.6,0.4,
LV,WR,7.1,3.3,13.9,19.94,47,70,67.14,546,1,3.9,2.7,1.2,
TB,WR,6.3,3.4,11.2,12.12,42,62,67.74,545,4,4.9,4.3,0.6,
NYJ,WR,5.9,3.4,11.9,21.46,43,77,55.84,538,5,5.1,4.7,0.4,
LAR,WR,6.3,2.6,13.2,21.12,44,82,53.66,537,5,3.7,3.7,0,
NYG,WR,6,1.7,13.7,25.02,37,76,48.68,521,0,3.2,3.4,-0.2,
CAR,WR,7,2.8,10.9,27.99,53,110,48.18,519,5,2.9,3.5,-0.5,
BAL,WR,6.9,2.7,9.2,11.89,46,68,67.65,515,1,3.9,3.3,0.6,
MIA,WR,5.2,1.7,11.8,20,40,73,54.79,515,2,3.2,2.6,0.6,
GB,WR,5.8,2.6,10.9,15.06,40,60,66.67,513,8,5.2,4.6,0.6,
PIT,TE,5.5,3.3,5.8,10.53,60,79,75.95,497,7,4.2,3.2,1,
CIN,TE,6.3,3.7,4.6,6.61,49,63,77.78,493,5,6.2,4.4,1.8,
NYJ,WR,6.8,2.7,13.1,18.07,34,59,57.63,492,4,3.6,2.6,1,
SEA,TE,6.7,4.1,5.5,7.68,48,63,76.19,478,4,5.3,4.5,0.8,
TEN,WR,5.3,2.7,10.4,15.01,38,57,66.67,476,4,4.2,4.2,0,
CLE,TE,4.7,3,8.4,10.83,36,53,67.92,475,4,7.2,6.1,1.1,
NE,WR,4.8,2.6,14.5,21.93,37,64,57.81,473,3,2.8,3.1,-0.3,
