rank	player_name	team	points	gp	avg_points
1	Tyreek Hill	MIA	130.9	9	14.5
2	Stefon Diggs	BUF	127.7	8	16.0
3	Cooper Kupp	LAR	126.5	8	15.8
4	Jaylen Waddle	MIA	116.9	9	13.0
5	Justin Jefferson	MIN	114.9	8	14.4
6	A.J. Brown	PHI	107.8	8	13.5
7	Davante Adams	LV	107.7	8	13.5
8	Ja'Marr Chase	CIN	94.7	7	13.5
9	Christian Kirk	JAC	86.6	9	9.6
10	Amari Cooper	CLE	84.3	8	10.5
11	Tyler Boyd	CIN	80.6	9	9.0
12	Tyler Lockett	SEA	79.8	9	8.9
13	Mike Evans	TB	79.7	8	10.0
14	CeeDee Lamb	DAL	74.8	8	9.4
15	Tee Higgins	CIN	74.4	8	9.3
16	Terry McLaurin	WAS	74.0	9	8.2
17	Curtis Samuel	WAS	73.7	9	8.2
18	Brandon Aiyuk	SF	73.0	8	9.1
19	Allen Lazard	GB	72.7	7	10.4
20	DK Metcalf	SEA	71.0	9	7.9
21	Gabe Davis	BUF	69.1	7	9.9
22	Mecole Hardman	KC	68.8	8	8.6
23	Deebo Samuel	SF	68.5	7	9.8
24	JuJu Smith-Schuster	KC	68.2	8	8.5
25	Mike Williams	LAC	67.5	7	9.6
26	DJ Moore	CAR	66.8	9	7.4
27	Devin Duvernay	BAL	66.8	8	8.4
28	Chris Olave	NO	66.7	7	9.5
29	Marquise Brown	ARI	66.5	6	11.1
30	Amon-Ra St. Brown	DET	64.7	7	9.2
31	Garrett Wilson	NYJ	64.6	9	7.2
32	Jerry Jeudy	DEN	63.0	8	7.9
33	Jakobi Meyers	NE	62.6	7	8.9
34	Michael Pittman Jr.	IND	59.0	8	7.4
35	DeVonta Smith	PHI	56.2	8	7.0
36	Adam Thielen	MIN	55.8	8	7.0
37	Courtland Sutton	DEN	53.2	8	6.7
38	Mack Hollins	LV	52.0	8	6.5
39	Drake London	ATL	48.9	9	5.4
40	Romeo Doubs	GB	48.5	9	5.4
41	Chase Claypool	Multi	48.3	9	5.4
42	Josh Reynolds	DET	47.7	7	6.8
43	Corey Davis	NYJ	47.1	7	6.7
44	Darnell Mooney	CHI	46.9	9	5.2
45	Alec Pierce	IND	45.6	8	5.7
46	Parris Campbell	IND	44.6	9	5.0
47	Isaiah McKenzie	BUF	43.9	7	6.3
48	Zay Jones	JAC	43.0	8	5.4
49	Olamide Zaccheaus	ATL	42.5	9	4.7
50	DeAndre Hopkins	ARI	41.8	3	13.9
51	Diontae Johnson	PIT	41.4	8	5.2
51	Brandin Cooks	HOU	41.4	7	5.9
53	Joshua Palmer	LAC	41.0	7	5.9
54	Chris Godwin	TB	40.9	7	5.8
55	Jahan Dotson	WAS	40.2	4	10.1
56	Donovan Peoples-Jones	CLE	39.9	8	5.0
57	George Pickens	PIT	39.9	8	5.0
58	Rashod Bateman	BAL	38.5	6	6.4
59	Rondale Moore	ARI	38.1	6	6.4
59	DeVante Parker	NE	38.1	8	4.8
61	Noah Brown	DAL	37.9	7	5.4
62	Marquez Valdes-Scantling	KC	37.8	8	4.7
63	Marvin Jones Jr.	JAC	37.3	8	4.7
64	Allen Robinson II	LAR	36.8	8	4.6
65	Michael Thomas	NO	35.1	3	11.7
66	Greg Dortch	ARI	32.5	9	3.6
67	DeAndre Carter	LAC	31.7	8	4.0
68	Dante Pettis	CHI	31.6	9	3.5
69	Braxton Berrios	NYJ	31.2	9	3.5
70	Ben Skowronek	LAR	30.8	8	3.9
71	Nico Collins	HOU	30.5	6	5.1
72	K.J. Osborn	MIN	30.4	8	3.8
73	Marquise Goodwin	SEA	29.9	7	4.3
74	Robert Woods	TEN	29.6	8	3.7
75	Tre'Quan Smith	NO	29.5	6	4.9
76	Chris Moore	HOU	29.3	6	4.9
77	Darius Slayton	NYG	29.2	5	5.8
78	Russell Gage	TB	29.1	7	4.2
79	Equanimeous St. Brown	CHI	26.8	9	3.0
80	Damiere Byrd	ATL	26.2	5	5.2
81	Terrace Marshall Jr.	CAR	26.1	5	5.2
82	Kalif Raymond	DET	25.8	8	3.2
83	Randall Cobb	GB	25.7	6	4.3
84	Rashid Shaheed	NO	25.5	3	8.5
85	Nelson Agholor	NE	24.7	7	3.5
86	Robbie Anderson	Multi	24.2	8	3.0
87	Dyami Brown	WAS	23.1	5	4.6
88	Jamal Agnew	JAC	22.7	7	3.2
89	Justin Watson	KC	22.1	8	2.8
90	Tyquan Thornton	NE	21.7	5	4.3
91	Sterling Shepard	NYG	21.4	3	7.1
92	Julio Jones	TB	20.2	4	5.1
93	Demarcus Robinson	BAL	20.0	7	2.9
94	Elijah Moore	NYJ	19.9	8	2.5
95	Michael Gallup	DAL	19.5	5	3.9
95	Phillip Dorsett II	HOU	19.5	7	2.8
97	Laviska Shenault Jr.	CAR	19.0	5	3.8
98	Ray-Ray McCloud	SF	18.9	8	2.4
99	K.J. Hamler	DEN	18.8	7	2.7
99	Jarvis Landry	NO	18.8	4	4.7
101	Marquez Callaway	NO	18.8	6	3.1
102	Trent Sherfield	MIA	18.4	9	2.0
103	Kendrick Bourne	NE	18.2	8	2.3
104	Jauan Jennings	SF	18.0	7	2.6
105	Hunter Renfrow	LV	17.2	6	2.9
105	Khalil Shakir	BUF	17.2	5	3.4
107	Ashton Dulin	IND	17.1	5	3.4
108	Quez Watkins	PHI	17.0	8	2.1
109	Christian Watson	GB	16.7	6	2.8
109	Wan'Dale Robinson	NYG	16.7	4	4.2
109	KhaDarel Hodge	ATL	16.7	7	2.4
112	Zach Pascal	PHI	16.4	7	2.3
113	Sammy Watkins	GB	15.9	5	3.2
114	D.J. Chark Jr.	DET	15.8	3	5.3
115	Scotty Miller	TB	15.3	7	2.2
116	Treylon Burks	TEN	14.1	4	3.5
117	Nick Westbrook-Ikhine	TEN	13.8	7	2.0
118	Richie James Jr.	NYG	13.7	8	1.7
119	Samori Toure	GB	13.5	3	4.5
120	Breshad Perriman	TB	13.4	6	2.2
121	River Cracraft	MIA	13.3	5	2.7
122	Shi Smith	CAR	12.5	9	1.4
123	Kendall Hinton	DEN	10.8	5	2.2
124	David Sills V	NYG	10.6	7	1.5
125	N'Keal Harry	CHI	10.4	3	3.5
126	David Bell	CLE	10.0	7	1.4
127	Dax Milne	WAS	9.7	9	1.1
128	Denzel Mims	NYJ	9.2	3	3.1
129	Jalen Reagor	MIN	8.7	8	1.1
130	Velus Jones Jr.	CHI	8.5	4	2.1
131	Tom Kennedy	DET	8.4	4	2.1
132	Keenan Allen	LAC	7.7	2	3.9
133	Brandon Powell	LAR	7.6	8	1.0
133	A.J. Green	ARI	7.6	6	1.3
135	Michael Bandy	LAC	7.4	4	1.9
136	Cedrick Wilson Jr.	MIA	7.1	6	1.2
137	Dee Eskridge	SEA	6.8	8	0.9
