TEAM,POS,CUSH,SEP,TAY,TAY%,REC,TAR,CTCH%,YDS,TD,YAC/R,xYAC/R,+/-,
MIA,WR,6.7,3.7,11.6,41.27,76,100,76,1104,3,4.9,4.3,0.6,
MIN,WR,6,3.6,9.5,41.91,59,84,70.24,867,3,6.4,5.5,1,
BUF,WR,5.4,2.9,11.9,38.52,60,83,72.29,857,7,4.7,3.5,1.2,
LAR,WR,6.5,3.3,7.5,39.43,72,93,77.42,813,6,5.8,4.4,1.4,
MIA,WR,6.2,3.2,11.2,27.83,47,70,67.14,812,6,6.8,4.7,2.1,
PHI,WR,5.4,2.6,11.1,45.03,43,69,62.32,718,6,6.7,5,1.7,
KC,TE,5.9,2.8,7.7,25.99,57,77,74.03,659,7,5.1,4.2,1,
LV,WR,5.6,3.1,11.5,41.22,48,85,56.47,658,7,5.1,4.8,0.3,
TB,WR,6,2.6,12.9,32.94,44,70,62.86,617,3,3.2,2.8,0.5,
WAS,WR,5.8,2.3,13.2,33.02,38,62,61.29,609,2,6,4.1,1.9,
CIN,WR,4.7,2.7,9.6,30.39,47,74,63.51,605,6,5.5,3.7,1.8,
SEA,WR,7.9,3.6,11.7,35.47,51,66,77.27,598,4,2.7,4.1,-1.4,
KC,WR,5.7,3,7.7,20.29,44,60,73.33,582,2,7.4,4.9,2.5,
JAX,WR,6.2,3.2,9.3,28.9,43,70,61.43,568,5,4.6,4.9,-0.3,
CIN,WR,5.7,2.9,10.5,26.25,41,58,70.69,564,3,4.3,3.2,1.1,
DAL,WR,6.6,3,10.8,40.65,42,73,57.53,556,3,5,4.7,0.3,
CLE,WR,5.8,2.2,13.2,39.93,39,66,59.09,553,5,2.9,2.8,0,
IND,WR,6.4,2.8,6.7,24.02,54,76,71.05,550,1,4.2,3.6,0.5,
NO,WR,7.6,2.7,15.4,37.71,37,63,58.73,547,2,2.6,2.7,-0.1,
CIN,WR,5.3,2.7,10,21.13,37,49,75.51,537,4,5.2,3.7,1.5,
PHI,TE,6,4,5,14.33,40,50,80,521,2,8.9,7.1,1.8,
NYJ,WR,5.7,3.1,8.7,24.46,42,68,61.76,521,2,5,4.6,0.4,
SEA,WR,6.3,2.2,12.1,37.76,42,68,61.76,510,4,3,2.5,0.4,
LAC,WR,5,2.6,11.8,30.53,37,59,62.71,495,3,5.2,4.6,0.5,
BAL,TE,5.6,3,10.6,34.37,42,64,65.63,488,5,3.9,4,-0.1,
ARI,WR,6.8,3.3,10.4,29.45,43,64,67.19,485,3,3.9,3.8,0.1,
SF,WR,6.5,3.1,9.4,28.45,38,55,69.09,483,4,5.8,5.3,0.4,
DEN,WR,5.3,2.7,12.4,32.49,35,62,56.45,467,1,2.9,3.2,-0.3,
MIN,TE,6.6,2.8,7.5,18.19,35,52,67.31,465,3,6.9,3.6,3.3,
NE,WR,5.2,3.1,9.3,25.1,40,52,76.92,457,3,3.7,4.3,-0.5,
WAS,WR,7,3.5,6.5,17.24,45,66,68.18,455,3,4.4,3.7,0.7,
CAR,WR,6.7,2.8,11.7,44.64,35,71,49.3,453,3,3.7,4,-0.3,
BUF,WR,5.7,2.8,16.9,24.98,18,38,47.37,451,4,7.2,3.7,3.6,
